,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2,date,StationId
194,2020-01-03 00:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
195,2020-01-03 00:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
196,2020-01-03 01:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
197,2020-01-03 01:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
198,2020-01-03 01:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
199,2020-01-03 01:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
200,2020-01-03 02:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
201,2020-01-03 02:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
202,2020-01-03 02:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
203,2020-01-03 02:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
204,2020-01-03 03:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
205,2020-01-03 03:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
206,2020-01-03 03:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
207,2020-01-03 03:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
208,2020-01-03 04:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
209,2020-01-03 04:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
210,2020-01-03 04:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
211,2020-01-03 04:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
212,2020-01-03 05:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
213,2020-01-03 05:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
214,2020-01-03 05:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
215,2020-01-03 05:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
216,2020-01-03 06:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
217,2020-01-03 06:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
218,2020-01-03 06:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
219,2020-01-03 06:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
220,2020-01-03 07:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
221,2020-01-03 07:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
222,2020-01-03 07:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
223,2020-01-03 07:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
224,2020-01-03 08:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
225,2020-01-03 08:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
226,2020-01-03 08:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
227,2020-01-03 08:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
228,2020-01-03 09:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
229,2020-01-03 09:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
230,2020-01-03 09:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
231,2020-01-03 09:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
232,2020-01-03 10:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
233,2020-01-03 10:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
234,2020-01-03 10:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
235,2020-01-03 10:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
236,2020-01-03 11:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
237,2020-01-03 11:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
238,2020-01-03 11:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
239,2020-01-03 11:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
240,2020-01-03 12:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
241,2020-01-03 12:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
242,2020-01-03 12:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
243,2020-01-03 12:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
244,2020-01-03 13:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
245,2020-01-03 13:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
246,2020-01-03 13:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
247,2020-01-03 13:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
