From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
02-01-2020 19:30,02-01-2020 19:45,68.7,140,148.4,60.3,207.8,4.21
02-01-2020 19:45,02-01-2020 20:00,78.6,169.5,127.1,54.1,180.3,4.06
02-01-2020 20:00,02-01-2020 20:15,78.6,169.5,125.1,53.7,177.8,4.18
02-01-2020 20:15,02-01-2020 20:30,78.6,169.5,167.8,55.8,222.6,4.34
02-01-2020 20:30,02-01-2020 20:45,81.2,174.6,139.7,48.7,187.4,4.4
02-01-2020 20:45,02-01-2020 21:00,105.4,220.8,136.1,50.2,185.3,4.55
02-01-2020 21:00,02-01-2020 21:15,105.4,220.8,148.1,56.1,203.2,4.2
02-01-2020 21:15,02-01-2020 21:30,105.4,220.8,231.3,72.7,303,4.31
02-01-2020 21:30,02-01-2020 21:45,106.6,224.2,235.3,70.1,304.4,4.5
02-01-2020 21:45,02-01-2020 22:00,118,254.2,239.9,66.2,305,4.45
02-01-2020 22:00,02-01-2020 22:15,118,254.2,250.9,67,316.9,4.64
02-01-2020 22:15,02-01-2020 22:30,118,254.2,261.2,68.6,328.8,4.79
02-01-2020 22:30,02-01-2020 22:45,121.9,253.5,258.6,69.2,326.8,4.96
02-01-2020 22:45,02-01-2020 23:00,157.3,247.1,251.3,None,None,4.44
02-01-2020 23:00,02-01-2020 23:15,157.3,247.1,239,66.1,304.1,3.97
02-01-2020 23:15,02-01-2020 23:30,157.3,247.1,215.3,63.4,277.7,3.98
02-01-2020 23:30,02-01-2020 23:45,154.8,246.7,206.1,60,265.1,4.28
02-01-2020 23:45,03-01-2020 00:00,None,None,None,None,None,None
03-01-2020 00:00,03-01-2020 00:15,133,242.8,200,52.4,251.4,4.08
03-01-2020 00:15,03-01-2020 00:30,133,242.8,184.3,50.7,234,4.1
03-01-2020 00:30,03-01-2020 00:45,131.2,241,171.6,46,216.6,4.14
03-01-2020 00:45,03-01-2020 01:00,114.8,224.8,167.7,44.2,210.9,4.01
03-01-2020 01:00,03-01-2020 01:15,114.8,224.8,158.5,43.1,200.6,4
03-01-2020 01:15,03-01-2020 01:30,114.8,224.8,149.8,40.4,189.3,4.31
03-01-2020 01:30,03-01-2020 01:45,112.6,220.4,132.8,43.9,175.8,4.22
03-01-2020 01:45,03-01-2020 02:00,92.8,180.8,114.5,47.1,160.6,4.3
03-01-2020 02:00,03-01-2020 02:15,92.8,180.8,101.9,46.8,147.8,4.08
03-01-2020 02:15,03-01-2020 02:30,92.8,180.8,92.8,47.2,139,3.86
03-01-2020 02:30,03-01-2020 02:45,92,177.8,82.2,47,128.2,4.31
03-01-2020 02:45,03-01-2020 03:00,85.4,150.9,74.6,46.5,120.1,4.22
03-01-2020 03:00,03-01-2020 03:15,85.4,150.9,65.7,45.7,110.4,4.3
03-01-2020 03:15,03-01-2020 03:30,85.4,150.9,58.3,45.4,102.7,4.23
03-01-2020 03:30,03-01-2020 03:45,84.5,149.5,52.9,41.3,93.3,4.5
03-01-2020 03:45,03-01-2020 04:00,76.6,136.6,43.8,40.2,83,5.88
03-01-2020 04:00,03-01-2020 04:15,76.6,136.6,43.5,39.7,82.2,5
03-01-2020 04:15,03-01-2020 04:30,76.6,136.6,40,38.7,77.7,5.19
03-01-2020 04:30,03-01-2020 04:45,74.8,135.2,36.6,37.4,73,5.25
03-01-2020 04:45,03-01-2020 05:00,58.9,122.1,33.9,36.9,69.8,4.95
03-01-2020 05:00,03-01-2020 05:15,58.9,122.1,31.1,35.9,66,5.14
03-01-2020 05:15,03-01-2020 05:30,58.9,122.1,29,35.5,63.5,5.2
03-01-2020 05:30,03-01-2020 05:45,58.4,119.8,26.3,34.7,60,5.83
03-01-2020 05:45,03-01-2020 06:00,53.3,99.1,23.6,36.5,59.1,5.62
03-01-2020 06:00,03-01-2020 06:15,53.3,99.1,21.1,35.7,55.8,5.46
03-01-2020 06:15,03-01-2020 06:30,53.3,99.1,18.1,35.8,52.9,5.41
03-01-2020 06:30,03-01-2020 06:45,52.2,95.6,15.8,35.8,50.6,5.38
03-01-2020 06:45,03-01-2020 07:00,42.6,64.3,14.3,36,49.3,4.96
03-01-2020 07:00,03-01-2020 07:15,42.6,64.3,13.1,36.2,48.3,5.32
03-01-2020 07:15,03-01-2020 07:30,42.6,64.3,12,36.5,47.4,5.29
03-01-2020 07:30,03-01-2020 07:45,42.2,63.7,11.1,36.3,46.3,5.38
03-01-2020 07:45,03-01-2020 08:00,38.6,59,10.4,36,45.3,4.99
03-01-2020 08:00,03-01-2020 08:15,38.6,59,10.1,34.1,43.2,6.01
03-01-2020 08:15,03-01-2020 08:30,38.6,59,9.9,30.1,39,6.67
03-01-2020 08:30,03-01-2020 08:45,37.9,57.9,9.8,29.6,38.4,6.45
03-01-2020 08:45,03-01-2020 09:00,31.5,47.7,9.9,29.2,38.2,5.72
03-01-2020 09:00,03-01-2020 09:15,31.5,47.7,10.2,28.6,37.8,5.26
03-01-2020 09:15,03-01-2020 09:30,31.5,47.7,10,28.7,37.7,5.34
03-01-2020 09:30,03-01-2020 09:45,30.9,47.1,10,28.7,37.7,5.35
03-01-2020 09:45,03-01-2020 10:00,25.6,42.3,10.1,29.1,38.2,5.08
